Var01,Var02
36.94882256,9690367.864
36.90994435,11179093.24
36.94635548,12015882.27
36.99324007,12347152.86
36.95818056,12563861.21
36.98351726,12602385.24
37.03625766,12649522.39
37.00690868,12618050.92
37.02167982,12615521.76
37.07800533,12570195.33
37.05582844,12550926.06
37.06097568,12505022.39
37.11865984,12478743.35
37.10465928,12434776.99
37.10147508,12404817.55
37.15843254,12362785.93
37.15315125,12330563.2
37.14318846,12290008.86
37.1975566,12256272.97
37.20109353,12216759.75
37.18607137,12181970.27
37.23627449,12143164.6
37.24832047,12107624.45
37.23003153,12069286.89
37.27482613,12033202.04
37.29471495,11995164.42
37.27493731,11958676.64
37.31343826,11920821.74
37.34020929,11884029.09
37.32062732,11846275.48
37.3523154,11809245.91
37.38478385,11771537.07
37.36692035,11734317.67
37.39163252,11696614.38
37.42846351,11659237.82
37.41362545,11621512.88
37.4315299,11584001.82
37.47131253,11546236.37
37.46055144,11508606.51
37.47210984,11470787.47
37.51342807,11433049.72
37.50751559,11395168
37.51343552,11357329.92
37.55493274,11319379.22
37.55435112,11281446.05
37.55553171,11243422.02
37.59596681,11205397.39
37.60091334,11167297
37.59838707,11129183.43
37.63668021,11091004.57
37.64708415,11052803.83
37.64195802,11014545.04
37.67722484,10976258.33
37.69277502,10937918.61
37.68617358,10899546.77
37.71774756,10861125.42
37.73792829,10822669.03
37.73094114,10784165.56
37.75838397,10745625.03
37.782517,10707039.1
37.77615256,10668414.72
37.79925326,10629746.09
37.82654327,10591038.05
37.8216905,10552286.57
37.84045436,10513494.99
37.87003562,10474660.54
37.86743461,10435785.54
37.88206326,10396868.04
37.91304527,10357909.67
37.91326718,10318909.07
37.92413165,10279867.38
37.95564171,10240783.64
37.95907832,10201658.65
37.96668681,10162491.76
37.99790795,10123283.49
38.00477014,10084033.42
38.00973256,10044741.9
38.0399355,10005408.63
38.05026018,9966033.865
38.05325126,9926617.392
38.08181945,9887159.39
38.09548368,9847659.708
38.09720651,9808118.472
38.12365386,9768535.578
38.14039492,9728911.112
38.14154656,9689245.003
38.16552757,9649537.31
38.1849676,9609787.983
38.18620799,9569997.063
38.20752066,9530164.517
38.22919419,9490290.373
38.23111967,9450374.608
38.24970161,9410417.24
38.27308467,9370418.253
38.27620672,9330377.662
38.29212526,9290295.455
38.31666438,9250171.641
38.32139416,9210006.212
38.33483156,9169799.175
38.35997155,9129550.525
38.3666104,9089260.265
38.37784512,9048928.393
38.40305437,9008554.912
38.41179012,8968139.818
38.42117547,8927683.114
38.44596791,8887184.798
38.45687668,8846644.872
38.46481802,8806063.334
38.48877097,8765440.186
38.5018239,8724775.426
38.50875555,8684069.056
38.53152313,8643321.074
38.5465972,8602531.481
38.55296012,8561700.278
38.57428194,8520827.463
38.59117411,8479913.037
38.59739531,8438957
38.61710052,8397959.352
38.63554417,8356920.093
38.64201868,8315839.223
38.66002552,8274716.742
38.67970835,8233552.65
38.68678417,8192346.947
38.70309564,8151099.633
38.72367795,8109810.708
38.7316446,8068480.172
38.74634058,8027108.025
38.76747313,7985694.267
38.77655382,7944238.897
38.7897805,7902741.917
38.81112123,7861203.326
38.82146878,7819623.123
38.83342599,7778001.31
38.85465484,7736337.885
38.86635116,7694632.85
38.87727844,7652886.203
38.89810987,7611097.946
38.9111687,7569268.077
38.92133086,7527396.597
38.94152363,7485483.507
